Publication_date,Source,Scraped_category,Title,Summary,Article_Url
2024-09-11,BBC,news,Anti-war protesters clash with Melbourne police,Both sides are accusing the other of using extreme levels of violence at the protest.,https://www.bbc.com/news/articles/cqjl5pdd97wo
2024-09-10,BBC,news,"Israeli strike in Gaza humanitarian zone kills 19, Hamas-run health ministry says",The Israeli military says it struck  senior Hamas terrorists  operating there - a claim hamas denied.,https://www.bbc.com/news/articles/cwyx9znxl4eo
2024-09-09,BBC,news,Met admits making mistakes on Palestine protests,"The Met Police says about 52,000 officers' shifts were needed for protests between October and June.",https://www.bbc.com/news/articles/cy0rer2k01no
2024-09-07,BBC,news,World order 'under threat not seen since Cold War',"The MI6 and CIA chiefs, who made their first public appearance together, warn of challenges such as the war in Ukraine, Islamic State, Israel-Gaza conflict and the rise of China.",https://www.bbc.com/news/articles/cx2gz4re394o
2024-09-07,BBC,news,Satellite images show how Israel is paving key Gaza road,BBC Verify looks at roadwork that analysts say shows Israel is unlikely to fully withdraw from Gaza any time soon.,https://www.bbc.com/news/articles/cewlqpk9e99o
2024-09-05,BBC,news,ICC chief prosecutor defends Netanyahu arrest warrant in BBC interview,Mr Khan tells the BBC it is important to show the court will hold all nations to the same standard.,https://www.bbc.com/news/articles/c303y5m1p19o
2024-09-04,BBC,news,Netanyahu doubles down on control of Gaza's border with Egypt,Israel's prime minister insists his forces will not leave the Philadelphi corridor between Gaza and Egypt.,https://www.bbc.com/news/articles/cgl2370ldxro
2024-09-04,BBC,news,Family of aid worker killed in Gaza call for inquiry,"The family of James Kirby, who died in an Israeli strike, say they want accountability for his death.",https://www.bbc.com/news/articles/c5y8zp8zdpzo
2024-09-03,BBC,news,Columbia University term starts with protests and security,"A statue was doused with red paint and there were at least two arrests, but police described the day as ""peaceful"".",https://www.bbc.com/news/articles/cvg3dnn7zlyo
2024-09-03,BBC,news,"Rooftop protesters caused  571k damage, court told",Four people go on trial charged over the 14-hour protest at Teledyne in Shipley on 2 April.,https://www.bbc.com/news/articles/cp8np976znqo
2024-09-03,BBC,news,Where does Israel get its weapons?,Israel's military is heavily reliant on imported aircraft and munitions to conduct its war in Gaza.,https://www.bbc.com/news/world-middle-east-68737412
2024-09-03,BBC,news,WHO exceeds target for Gaza polio vaccinations as campaign continues,"The UN agency says localised pauses in the fighting have allowed 161,030 children to be inoculated.",https://www.bbc.com/news/articles/cy8xwxjy4y7o
2024-09-03,BBC,news,"Hope is all we've got, says Hamas victim's brother",The brother of a woman killed in Hamas attacks is campaigning for the release of her husband.,https://www.bbc.com/news/articles/c8rx87zdzkko
2024-09-03,BBC,news,"Netanyahu not doing enough to free Gaza hostages, says Biden","The US is continuing to push for an agreement, as Israel is gripped by protests over hostage deaths.",https://www.bbc.com/news/articles/cm2np7p1yr7o
2024-09-03,BBC,news,Government sets out more Israel-sceptic posture,A series of recent decisions suggest Labour wants to shift the UK's position on the conflict in Gaza.,https://www.bbc.com/news/articles/c8jlv28n2kvo
2024-09-03,BBC,news,Hostage killings leave Israeli protesters at 'breaking point',The discovery of six hostages killed in Gaza has increased the pressure on Israel's prime minister.,https://www.bbc.com/news/articles/c20l22jnj6go
2024-09-02,BBC,news,Netanyahu asks 'forgiveness' over hostage deaths as protests continue,"It comes as Hamas said more hostages could be ""returned to their families in shrouds"" if a ceasefire isn't reached.",https://www.bbc.com/news/articles/cn02pz4wnyro
2024-09-02,BBC,news,Israel disruption as strike and protests push for Gaza hostage deal,Tensions are running high over the government's failure to secure the release of hostages held by Hamas.,https://www.bbc.com/news/articles/cvgez7ez10lo
2024-09-02,BBC,news,Charity provides care for donkeys in Gaza,Safe Haven for Donkeys was set up in Haywards Heath to help donkeys in Israel and Palestine.,https://www.bbc.com/news/articles/cje2pk2ep7xo
2024-09-01,BBC,news,Tens of thousands rally in Israel calling for hostage release deal,The protests come after six hostages taken by Hamas on the 7 October attacks were found dead in Gaza.,https://www.bbc.com/news/articles/cze5x793569o
2024-09-01,BBC,news,"Gaza polio vaccine rollout starts well, UN says",The drive comes after the first confirmed case of the disease in 25 years was discovered in Gaza.,https://www.bbc.com/news/articles/c4gl62rvvp8o
2024-09-01,BBC,news,Israel recovers bodies of six Gaza hostages,The Israeli military says the captives were killed by Hamas shortly before troops discovered them in the Rafah area.,https://www.bbc.com/news/articles/ce31ddege9vo
2024-09-01,BBC,clip news,Gaza children being given polio vaccine,"The aim is to vaccinate 640,000 children, weeks after the first polio case was detected in Gaza in 25 years.",https://www.bbc.com/news/videos/c6234ekye5do
2024-09-01,BBC,news,Stories of the hostages taken by Hamas from Israel,It is thought 103 hostages remain unaccounted for after the 7 October attacks.,https://www.bbc.com/news/world-middle-east-67053011
2024-08-30,BBC,news,Aid group says Israeli strike on Gaza convoy kills four Palestinians,"Israel's military says it hit ""armed assailants"" who took control of an Anera convoy's lead vehicle.",https://www.bbc.com/news/articles/crmw8rrrdw4o
2024-08-30,BBC,news,What is the plan to give polio vaccines to children in Gaza?,Pauses to fighting will allow hundreds of thousands of Gaza children to be vaccinated against polio.,https://www.bbc.com/news/articles/c4gejxxk820o
2024-08-30,BBC,news,Israel agrees to pauses in fighting for polio vaccine drive,"It will be rolled out in three separate stages across the central, southern and northern parts of the strip.",https://www.bbc.com/news/articles/cn02z5kjn40o
2024-08-29,BBC,news,Blogger who documented life in Gaza killed in alleged Israeli strike,"The 20-year-old blogger was killed after being hit by shrapnel from a blast on Monday, the BBC has been told.",https://www.bbc.com/news/articles/cm2nyy8y48qo
2024-08-28,BBC,news,World Food Programme halts Gaza staff movements,The move comes after a convoy of the UN food agency's vehicles was shot at near an Israeli checkpoint.,https://www.bbc.com/news/articles/clywnxj4dd8o
2024-08-28,BBC,news,Medic saw 'apocalyptic' scenes during Gaza mission,Dr Matt Newport said 40% of the patients his charity treated were seriously injured children.,https://www.bbc.com/news/articles/cr5n7lpnp47o
2024-08-28,BBC,news,Rescued Israeli pleads for hostage deal with Hamas,"Kaid Farhan Elkadi was freed in a ""complex operation"" in the Gaza Strip, the Israeli military says.",https://www.bbc.com/news/articles/c1w7zlj0n2xo
2024-08-27,BBC,news,Israel rescues Bedouin hostage held by Hamas in Gaza,"Commandos free Kaid Farhan Elkadi in a ""complex operation"" in southern Gaza, the military says.",https://www.bbc.com/news/articles/c3w67w47eego
2024-08-27,BBC,news,Namibia blocks ship over Israel war-crime concerns,A vessel is suspected to be carrying military cargo intended for Israeli use in the ongoing war in Gaza.,https://www.bbc.com/news/articles/c20rgvqr37ro
2024-08-27,BBC,news,Who are the released hostages?,One-hundred-and-seventeen people captured during the 7 October attacks have been released or freed.,https://www.bbc.com/news/world-middle-east-67477240
2024-08-27,BBC,news,Israeli settlers are seizing Palestinian land under cover of war - they hope permanently,"Israeli extremists are working to make settlements in the West Bank irreversible, analysts fear.",https://www.bbc.com/news/articles/c624qr3mqrzo
2024-08-27,BBC,news,Claims Israeli munitions flown through Irish airspace,Allegations made on The Ditch website claim a flight bound for Israel flew over Irish airspace.,https://www.bbc.com/news/articles/c2048rnqxego
2024-08-27,BBC,news,"Six killed in West Bank strike and settler attack, Palestinian ministry says",Medics say five were killed in a strike in Tulkarm and one was shot dead by settlers near Bethlehem.,https://www.bbc.com/news/articles/c89w851xw5ko
2024-08-26,BBC,news,Has Israel taken enough action to prevent alleged incitement to genocide?,"In January, the ICJ ordered Israel to prevent public statements inciting genocide - critics say it s not doing enough.",https://www.bbc.com/news/articles/cze5w2wd4x0o
2024-08-26,BBC,news,UN says Gaza aid operation paused due to evacuation orders,An official says staff cannot operate in central areas because of relocations and safety concerns.,https://www.bbc.com/news/articles/cr40d32zqz4o
2024-08-26,BBC,news,Lebanese relief as Hezbollah and Israel seem to step back from brink,Both signalled they did not want an all-out war after the biggest cross-border strikes in 10 months.,https://www.bbc.com/news/articles/c4gv4zede8jo
2024-08-26,BBC,news,Diseases spread in Gaza as sewage contaminates camps and coast,Satellite images show the impact of the damage to Gaza's critical water and sanitation systems.,https://www.bbc.com/news/articles/c2kjzk75eplo
2024-08-26,BBC,news,Israel and Hezbollah exchange heavy fire in major escalation,Hezbollah says it fired hundreds of rockets after Israel says it launched pre-emptive strikes on Sunday morning.,https://www.bbc.com/news/articles/cq6rzvyz9p6o
2024-08-25,BBC,news,What is Hezbollah and will it go to war with Israel?,Escalating cross-border hostilities between the foes have heightened fears of an all-out conflict.,https://www.bbc.com/news/world-middle-east-67307858
2024-08-24,BBC,news,Israel-Gaza ceasefire: Is a deal still possible?,"As Benjamin Netanyahu rises in Israeli opinion polls, his US allies fear he is blocking a ceasefire deal.",https://www.bbc.com/news/articles/c7854g3gz0eo
2024-08-23,BBC,news,Baby contracts Gaza's first case of polio in 25 years,"The head of the World Health Organization, Tedros Adhanom Ghebreyesus, says he is ""gravely concerned"".",https://www.bbc.com/news/articles/cevjz7zreyxo
2024-08-23,BBC,news,Democrats reject Gaza protesters' demand to give speaking slot to Palestinian,The activists staged a sit-in outside the convention as Democrats ignored their requests.,https://www.bbc.com/news/articles/c3w65xg7vy4o
2024-08-22,BBC,news,Brother of Hamas victim accuses SNP of double standards on Israel,"Colin Cowan said the SNP displayed ""double standards"" in the fallout of Angus Robertson's meeting with an Israeli diplomat.",https://www.bbc.com/news/articles/cq827855x5vo
2024-08-22,BBC,news,Biden tells Netanyahu Gaza ceasefire deal is urgent,The US president stresses to Israel's PM the importance of removing  any remaining obstacles .,https://www.bbc.com/news/articles/cze5r4e66ydo
2024-08-22,BBC,news,Pro-Palestinian delegates denied Democratic convention speaking slot,"Delegates from the Uncommitted National Movement said the decision by Democratic Party leaders was ""unacceptable"".",https://www.bbc.com/news/articles/cn473n92k9no
2024-08-21,BBC,news,Hezbollah rockets hit Golan Heights after Israel strikes deep in Lebanon,Fears are growing that the cross-border hostilities could escalate into an all-out war.,https://www.bbc.com/news/articles/c14zgv18l55o
2024-08-21,BBC,news,Labour MP hits back at claims of antisemitism,"In response to calls for his suspension from the Labour Party, Clive Lewis MP says it is ""wrong"" to ""silence"" politicians.",https://www.bbc.com/news/articles/cvgd4vd53x0o
2024-08-21,BBC,news,"Gaza nurse says whole family, including quadruplets, killed in air strike",Ashraf El Attar's wife and six children were killed when an air strike destroyed their home in Deir al-Balah.,https://www.bbc.com/news/articles/clyn31g50e3o
2024-08-21,BBC,news,"Netanyahu putting politics before Gaza deal, dead hostage's daughter says",Inbal Peri tells the BBC her father might be alive if Israel's PM had agreed to a Gaza ceasefire.,https://www.bbc.com/news/articles/cjdkyyn1lr4o
2024-08-20,BBC,news,US criticises Israeli PM's 'maximalist' ceasefire stance,"A senior US official says Benjamin Netanyahu's reported comments are  not constructive to getting a ceasefire deal"".",https://www.bbc.com/news/articles/cd6ynq1jwdqo
2024-08-20,BBC,news,"Twelve killed in Israeli strike on Gaza school, civil defence says",Israel's military says it targeted a Hamas command and control centre inside the Gaza City school.,https://www.bbc.com/news/articles/ce9zxlpz5evo
2024-08-20,BBC,news,"Six hostages' bodies retrieved from Gaza tunnels, says IDF","Five of their deaths had already been confirmed by Israel, though it was thought one could still be alive.",https://www.bbc.com/news/articles/c23lgy1k22zo
2024-08-20,BBC,news,Will sorry save Robertson after Israeli meeting?,BBC Scotland's Lynsey Bews considers the political fallout of the Scottish government's meeting with Israel's ambassador to the UK.,https://www.bbc.com/news/articles/cdeyz89rwdro
2024-08-20,BBC,news,Robertson not considering position over Israel meeting,The cabinet secretary has come under fire from SNP colleagues over talks with the deputy ambassador.,https://www.bbc.com/news/articles/c2dg0y12e7do
2024-08-20,BBC,news,Biden says Gaza protesters 'have a point' after thousands gather at DNC,A security fence was breached but most demonstrators taking to Chicago's streets remained peaceful.,https://www.bbc.com/news/articles/cvge9k0r1llo
2024-08-19,BBC,news,Israel accepts 'bridging proposal' for ceasefire deal - Blinken,US Secretary State Antony Blinken met with Israeli leader Benjamin Netanyahu to push for an urgent ceasefire.,https://www.bbc.com/news/articles/c5y3xzex72no
2024-08-19,BBC,news,Scottish government suspends meetings with Israel,Minister Angus Robertson had faced criticism over talks with the deputy ambassador to the UK.,https://www.bbc.com/news/articles/c5ydg5lqgwxo
2024-08-19,BBC,news,Gaza protesters descend on Chicago for Democratic convention,The four-day convention is set to celebrate Kamala Harris - but party divisions over Gaza could lead to disruption.,https://www.bbc.com/news/articles/c24p94pv6myo
2024-08-19,BBC,news,Hamas claims Tel Aviv bomb explosion as suicide attack,Israeli security forces said Sunday's blast killed the suspected attacker and injured a passer-by.,https://www.bbc.com/news/articles/cg58zqgle9ro
2024-08-19,BBC,news,SNP MSP John Mason stands by comment on Israel,"The outspoken backbench MSP has been urged by a minister to  ""educate himself"" about the Gaza conflict.",https://www.bbc.com/news/articles/c1jlwg8d3lgo
2024-08-18,BBC,news,Foreign Office official resigns over Israel arms sales,"The official resigned over arms sales to Israel, saying the UK government ""may be complicit in war crimes"".",https://www.bbc.com/news/articles/cyvpm1049d9o
2024-08-17,BBC,news,"Gaza ceasefire progress is an illusion, says Hamas","US President Joe Biden had said a ceasefire was ""closer than we have ever been"" following talks in Qatar.",https://www.bbc.com/news/articles/c4gdewq4v8wo
2024-08-17,BBC,news,"Israeli strike in Lebanon kills 10, health ministry says","Lebanon said the building was housing refugees, while Israel said it targeted a Hezbollah weapons depot.",https://www.bbc.com/news/articles/c5y364j3eryo
2024-08-17,BBC,news,"Gaza ceasefire deal closer than ever, Biden says",The ceasefire talks come in the context of concern that the Israel-Gaza war may engulf the entire region.,https://www.bbc.com/news/articles/c5ydpwe520go
2024-08-17,BBC,news,Mason stripped of SNP whip over 'unacceptable' Gaza posts,"Writing on X Mr Mason said Israel's actions in Gaza did not amount to ""genocide"".",https://www.bbc.com/news/articles/cg791g2z8zyo
2024-08-17,BBC,news,Why this Democratic convention will not be like Chicago in 1968,There are parallels - a president exiting the race and anti-war protests - but the violence and chaos of that event is unlikely to be repeated when Democrats convene in the city this week.,https://www.bbc.com/news/articles/c8jl0p4vklyo
2024-08-16,BBC,news,Gaza ceasefire mediators in bid to  narrow gaps,"The US, Qatar and Egypt say talks will resume in Cairo next week with the aim of agreeing a deal.",https://www.bbc.com/news/articles/c1m0ekn3jkjo
2024-08-16,BBC,news,"Time for Gaza ceasefire deal is now, says Lammy",It comes as a fresh round of ceasefire talks have begun in Doha amid fears of an all-out regional war.,https://www.bbc.com/news/articles/c0jpzqxzwp0o
2024-08-16,BBC,news,Palestinian killed as Israeli settlers torch West Bank village,The Israeli prime minister says he views the incident with  utmost severity .,https://www.bbc.com/news/articles/c623zkwd04qo
2024-08-16,BBC,news,Comedian Reginald D Hunter apologises after antisemitism row,Two audience members were heckled as they left the comic's new show after he joked about Israel.,https://www.bbc.com/news/articles/crrldrx11v7o
2024-08-15,BBC,news,High-stakes Gaza ceasefire and hostage release talks resume in Doha,A deal is considered key to stopping the war from spiralling into an all-out regional conflict.,https://www.bbc.com/news/articles/cjw32jj4973o
2024-08-15,BBC,news,Risk of regional war hangs over Gaza ceasefire talks,"The US believes a deal could help calm the Middle East, but do Israel and Hamas's leader want one?",https://www.bbc.com/news/articles/c20rxr3pr50o
2024-08-15,BBC,news,Columbia University president resigns after Gaza protests turmoil,Minouche Shafik's resignation comes a year after she took the position at the Ivy League university.,https://www.bbc.com/news/articles/cy8431ejnk5o
2024-08-15,BBC,news,Cancelling show over Gaza remarks an 'error': Orchestra,Jayson Gillham premiered a piece that was dedicated to the journalists of Gaza.,https://www.bbc.com/news/articles/c7v5zgelqjyo
2024-08-15,BBC,news,"Hamas will not join Gaza ceasefire talks, senior official says",Mediators make urgent push for deal after the killing of Hamas's leader raises fears of regional war.,https://www.bbc.com/news/articles/c0e8gzyp8e2o
2024-08-14,BBC,news,Lebanese hold their breath as mediators scramble to avert all-out war,Locals in the capital Beirut tell the BBC their fears of another war between Israel and Hezbollah.,https://www.bbc.com/news/articles/cm2ndvg18j8o
2024-08-14,BBC,news,Gaza protest camp at Cambridge college disbands,Demonstrators against the Gaza conflict have been in place outside King's College for 100 days.,https://www.bbc.com/news/articles/cvge1pdnq71o
2024-08-14,BBC,news,US says it aims to 'lower temperature' in Middle East,The US is stepping up its efforts to reach a ceasefire deal between Israel and Hamas in Gaza.,https://www.bbc.com/news/articles/cdjwygwx2xjo
2024-08-14,BBC,news,Pianist's Melbourne show cancelled over Gaza remarks,Jayson Gillham dedicated a piece of music to journalists killed in Gaza.,https://www.bbc.com/news/articles/cn02jd0n9d2o
2024-08-13,BBC,clip news,Gaza protesters shut down LA highway during rush hour,"The demonstrators were escorted off the freeway by police, who took several people into custody.",https://www.bbc.com/news/videos/c3rdndd1lpyo
2024-08-13,BBC,news,Father says baby twins killed by Israeli strike in Gaza as he registered births,The twins were just four days old when their home was reportedly hit in an Israeli strike.,https://www.bbc.com/news/articles/c985y78d0g1o
2024-08-13,BBC,news,Hamas says guards killed hostage and wounded two others in Gaza,The Israeli military says it does not have any information to refute or confirm Hamas s statement.,https://www.bbc.com/news/articles/c303d4pdpg6o
2024-08-13,BBC,news,Iran rejects Western calls to refrain from attack on Israel,"Iran's president says retaliation for the killing of Hamas's leader is its ""legal right"".",https://www.bbc.com/news/articles/c14znyrdkrmo
2024-08-12,BBC,news,'On verge of an explosion': Policeman's killing part of spiralling West Bank violence,More than 600 Palestinians and at least 17 Israelis have been killed in the West Bank since October.,https://www.bbc.com/news/articles/cd735zvg1q9o
2024-08-12,BBC,news,Call for Labour to suspend Clive Lewis over X post,An antisemitism group is calling for the suspension of an MP after comments he made on social media.,https://www.bbc.com/news/articles/cn9l33pz493o
2024-08-12,BBC,news,Hamas says ceasefire must be based on group s July response,The group says any deal must be based on the response it gave last month to President Biden's plan.,https://www.bbc.com/news/articles/c4gex1rl6q5o
2024-08-11,BBC,news,Kamala Harris says 'too many' civilian deaths in Gaza,At least 70 people were killed in the strike Israel says targeted Hamas and Islamic Jihad militants.,https://www.bbc.com/news/articles/cn0lx2xgn55o
2024-08-10,BBC,news,"Israeli strike in Gaza kills more than 70, hospital head says",Israel says it targeted Hamas and Islamic Jihad militants embedded in the Gaza City school - one of several hit recently.,https://www.bbc.com/news/articles/c8erk37yn2no
2024-08-10,BBC,news,Israeli signs replaced using anti-vandal bolts,Parts of the signs welcoming people to Bournemouth were found to have been tampered with in April.,https://www.bbc.com/news/articles/cj9lnw2xj8do
2024-08-09,BBC,news,"Confronting violent settlers in the occupied West Bank, together","In the hills of the West Bank, Palestinian shepherds and Israeli activists unite to face down settler violence.",https://www.bbc.com/news/articles/cnd0e5w7l96o
2024-08-09,BBC,news,Israel accepts proposal to attend  urgent  new ceasefire talks,"A proposal for a new round of talks to take place on 15 August was presented by the US, Egypt and Qatar.",https://www.bbc.com/news/articles/c07e99ver7ro
2024-08-09,BBC,news,Iran keeps region guessing as it mulls revenge attack,Speculation swirls about how Iran might retaliate to Israel's alleged assassination of a Hamas leader in Tehran.,https://www.bbc.com/news/articles/cvgewyx7pn5o
2024-08-08,BBC,news,Harris rejects claims she would support Israel arms embargo,The news comes after Ms Harris was heckled at a rally in Michigan by pro-Palestinian protestors.,https://www.bbc.com/news/articles/cg798l439ydo
2024-08-08,BBC,news,Behind the scenes as Hamas chose its new leader,The BBC's Rushdi Abualouf witnessed Hamas s shadowy veterans gather in Qatar to vote for their new chief.,https://www.bbc.com/news/articles/clyl3yg7wzzo
2024-08-07,BBC,news,Gaza to get 1.2m polio vaccines amid outbreak fears,"The agency's chief called for a ceasefire and ""total freedom of movement"" so the vaccine programme can be rolled out.",https://www.bbc.com/news/articles/c5yd3g1vw79o
2024-08-07,BBC,news,Last missing Israeli victim of Hamas attack declared dead,"Until now, no trace had been found of Bilha Yinon, whose house was burnt down on 7 October.",https://www.bbc.com/news/articles/cwyxleqky15o
2024-09-11,BBC,news,Kyiv presses allies to end limits on long-range missile use,Antony Blinken and UK Foreign Secretary David Lammy visit Ukraine amid calls to allow strikes deep into Russia.,https://www.bbc.com/news/articles/crrlg2xj5qno
2024-09-10,BBC,news,UK halts all Iran flights as allies step up sanctions,The sanctions come as Western officials say Iran has supplied missiles to Russia for use in Ukraine.,https://www.bbc.com/news/articles/c75n2wnkp1vo
2024-09-10,BBC,news,"No impunity for Russia over Ukraine, ICC says",The chief prosecutor of the ICC told the BBC his team are doing all they can to deliver justice for crimes committed by Russia in Ukraine.,https://www.bbc.com/news/articles/c623pq2581go
2024-09-10,BBC,news,One killed in Ukraine drone attacks on Russia,Russian officials say they have downed 144 of the drones in an overnight attack.,https://www.bbc.com/news/articles/cn7l375z720o
2024-09-09,BBC,news,"War  tour , football and graffiti: How Russia is trying to influence Africa",The African Initiative spreads misleading claims online and promotes Russian culture on the ground.,https://www.bbc.com/news/articles/cvg3lky7z7eo
2024-09-09,BBC,news,Russia accused of EU and Nato cyber-attacks,The warning by Germany comes amid fears in Europe of suspected Russian interference since the war in Ukraine.,https://www.bbc.com/news/articles/c984zenjkz5o
2024-09-09,BBC,news,Inside Pokrovsk - the vital Ukrainian town in Russia's sights,"If invading Russians seize this vital transport hub, Ukraine could lose the entire Donetsk region.",https://www.bbc.com/news/articles/cx29z3v919xo
2024-09-06,BBC,news,British-made gas masks could help Ukraine soldiers,"The Wiltshire company says its ""world-leading"" masks could really help Ukrainians.",https://www.bbc.com/news/articles/c3vx0qr4xxzo
2024-09-06,BBC,news,What weapons are the UK and other countries giving Ukraine?,The UK and US are stepping up supplies of missiles and artillery to Ukraine.,https://www.bbc.com/news/world-europe-62002218
2024-09-06,BBC,news,UK to send hundreds more missiles to Ukraine,"Ukrainian President Volodymyr Zelensky has asked for more aid to ""drive Russian forces off our land"".",https://www.bbc.com/news/articles/cjw3x8926l6o
2024-09-05,BBC,news,Right-wing US influencers say they were victims of alleged Russian plot,"Several commentators said that, if the allegations proved true, they were ""deceived"" by the Russian government front.",https://www.bbc.com/news/articles/crrlv7jdnq8o
2024-09-05,BBC,news,Ukraine approves large war-time cabinet reshuffle,"Parliament approves several new ministers, but some MPs accuse President Zelensky of centralising power.",https://www.bbc.com/news/articles/cwywj71ywyeo
2024-09-05,BBC,news,Town makes friendship with Ukrainian city official,The Wiltshire town of Malmesbury has signed an agreement formalising its connection with Cherkasy.,https://www.bbc.com/news/articles/c785yvxeydxo
2024-09-04,BBC,news,"Zelensky meets Irish PM, thanks people of Ireland",Mr Harris and Mr Zelensky signed a bilateral agreement between their two countries.,https://www.bbc.com/news/articles/cq6r10r81llo
2024-09-04,BBC,news,Mother and daughters killed in new wave of strikes on Ukraine,The strike came as Ukraine was still reeling from the deaths of at least 50 people on Tuesday.,https://www.bbc.com/news/articles/cpqj35jv3e7o
2024-09-04,BBC,news,Ukraine's foreign minister resigns as government reshuffle expected,The parliamentary head of the ruling party says half the cabinet will be replaced in a reshuffle this week.,https://www.bbc.com/news/articles/cn02v5x5expo
2024-09-04,BBC,news,Ukraine says soldiers among 51 killed in Poltava missile attack,President Zelensky says two Russian missiles struck a military training institute.,https://www.bbc.com/news/articles/c1m0ylnkylko
2024-09-03,BBC,clip news,Aftermath of deadly Russian attack on Ukrainian city,Footage verified by the BBC shows the extent of the damage following a military strike by Russia in the city of Poltava in Ukraine.,https://www.bbc.com/news/videos/c4geyx3x4r5o
2024-09-02,BBC,news,Russian missiles target Kyiv on first day of school year,Thousands of children returned to school just hours after a barrage of missiles was fired at the city.,https://www.bbc.com/news/articles/c9wjey4kkp0o
2024-09-02,BBC,news,Meeting the Ukrainian recruits preparing for new battle,"As Kyiv fights on home soil and in Russia, Nick Beake speaks to recruits being sent to the battlefield.",https://www.bbc.com/news/articles/c0qe9ql8v95o
2024-09-01,BBC,news,At least 41 hurt in Russian air strikes on Kharkiv,The regional head accused Moscow of targeting civilians after a supermarket and sports complex were hit.,https://www.bbc.com/news/articles/cyvp1089q9jo
2024-08-31,BBC,news,Russia pushes on key Ukraine city while Kyiv's Kursk incursion slows,"Russia is poised to assault Pokrovsk, a crucial supply and reinforcement hub for Ukraine's frontline troops.",https://www.bbc.com/news/articles/c984g10e22lo
2024-08-31,BBC,news,Zelensky sacks Ukraine air force chief after F-16 crash,The move came four days after an F-16 fighter jet from Nato allies went down during a Russian barrage.,https://www.bbc.com/news/articles/c1m0jvd4m3zo
2024-08-30,BBC,news,"Girl, 14, killed as Russian strike hits Kharkiv playground","The strikes, which left at least six others dead, also hit a 12-storey building in the north-eastern city.",https://www.bbc.com/news/articles/c4gl8y34389o
2024-08-30,BBC,news,Ukraine calls on Mongolia to arrest Putin ahead of visit,"Moscow says it has ""no worries"" about the visit, which is expected to happen next week.",https://www.bbc.com/news/articles/c0e852r50x7o
2024-08-30,BBC,news,Russian fighters to leave Burkina Faso for Ukraine,"The Russian mercenaries were helping Burkina Faso fight Islamist insurgents, who recently staged a huge attack.",https://www.bbc.com/news/articles/cg4yg0k976lo
2024-08-29,BBC,news,"Ukraine F-16 destroyed during Russian attack, BBC told",The incident happened just weeks after Kyiv took delivery of the supersonic aircraft.,https://www.bbc.com/news/articles/cd0532n9pdko
2024-08-29,BBC,news,Lion rescued from Ukraine takes first steps outside,"Yuna, a lioness from Ukraine with shell shock, has ventured to the outside of her enclosure.",https://www.bbc.com/news/articles/c62406vgjdmo
2024-08-29,BBC,news,Pokrovsk: Ukraine's vital eastern town in Russian sights,Pokrovsk is a major logistics hub with a railway station and lies at the intersection of important roads.,https://www.bbc.com/news/articles/c785z8917leo
2024-08-29,BBC,news,Ukraine's long-range drones using Western tech to hit Russia,Western technology and finance are helping Ukraine carry out hundreds of long-range strikes inside Russia.,https://www.bbc.com/news/articles/c6240qepyppo
2024-08-27,BBC,news,Ukraine to present 'victory plan' to US - Zelensky,"US presidential candidates Kamala Harris and Donald Trump would also be shown the plan, President Zelensky says.",https://www.bbc.com/news/articles/crrlnl2vqe2o
2024-08-27,BBC,news,Russian woman's killer released for second time to fight in Ukraine,The 85-year-old grandmother's killer has been released only a week into his 22-year prison sentence.,https://www.bbc.com/news/articles/cg58mj7mzrdo
2024-08-27,BBC,news,Tributes paid to 'gentle giant' killed in Ukraine,"Ryan Evans, 38, was killed while working with Reuters news agency in the east of the country.",https://www.bbc.com/news/articles/cz9w4jy5y4zo
2024-08-27,BBC,news,Massive Russian strikes hit Ukraine for second day,Local officials say at least three people have been killed in Russian attacks on Ukraine overnight.,https://www.bbc.com/news/articles/ckg1lpe26ylo
2024-08-27,BBC,news,Heritage under attack: Ukrainians revive interest in culture,Hundreds of cultural sites have been targeted in Ukraine since Russia's full-scale invasion began.,https://www.bbc.com/news/articles/cd9dyn3vg4do
2024-08-26,BBC,news,"Seven killed in 'most massive' Russian air attack, Ukraine says",Russia launched missiles and drones into more than half of Ukraine's regions on Monday.,https://www.bbc.com/news/articles/c3d90ke0ello
2024-08-26,BBC,news,Defence firms 'need reassuring' that big orders will be long-term,"Western military production has ramped up due to Ukraine, but will it continue after the war ends?",https://www.bbc.com/news/articles/c5y832nyl2po
2024-08-26,BBC,news,British man killed in missile strike in Ukraine,"Ryan Evans, who was part of a Reuters news team, was killed in Kramatorsk in a strike on a hotel on Saturday.",https://www.bbc.com/news/articles/c2l1py9g4r8o
2024-08-25,BBC,news,Gains in Russian territory shape Ukraine independence celebrations,Ukrainians celebrated Independence Day and Ukraine's recent incursion into Russia's Kursk region.,https://www.bbc.com/news/articles/crmwx99lgpgo
2024-08-25,BBC,news,New hosts sought for Ukrainian refugees,South Gloucestershire Council says it is preparing to welcome 70 new arrivals.,https://www.bbc.com/news/articles/cr5ne08zd2po
2024-08-25,BBC,news,The lonely death of a jailed Russian pianist who opposed war,"When a Russian prisoner swap hit headlines recently, a jailed musician s fatal hunger strike went unnoticed.",https://www.bbc.com/news/articles/cj35lk4x86yo
2024-08-24,BBC,news,Russia and Ukraine swap prisoners after Kursk offensive,The swap is the first since Ukraine first began its incursion into Russia on 6 August.,https://www.bbc.com/news/articles/cp8nykdnlkpo
